==================================================================
fastsimcoal started on 26/06/2025 at 16:01:54

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
710	1	data unknown	4745.67	0	0
711	1	data unknown	5420.89	0	0
712	1	data unknown	1656.43	0	0
713	1	data unknown	2408.09	0	0
714	1	data unknown	496.712	0	0
715	1	data unknown	678.413	0	0
716	1	data unknown	1593.7	0	0
717	1	data unknown	12887.8	0	0
718	1	data unknown	735.626	0	0
719	1	data unknown	2682.55	0	0
720	1	data unknown	892.502	0	0
721	1	data unknown	41.4047	0	0
722	1	data unknown	1669.22	0	0
723	1	data unknown	262.566	0	0
724	1	data unknown	126.205	0	0
725	1	data unknown	1655.72	0	0
726	1	data unknown	706.558	0	0
727	1	data unknown	8333.2	0	0
728	1	data unknown	1948.49	0	0
729	1	data unknown	45.0439	0	0
730	1	data unknown	733.406	0	0
731	1	data unknown	5539.3	0	0
732	1	data unknown	182.259	0	0
733	1	data unknown	588.699	0	0
734	1	data unknown	249.557	0	0
735	1	data unknown	2619.78	0	0
736	1	data unknown	1243.29	0	0
737	1	data unknown	6083.71	0	0
738	1	data unknown	5.2948	0	0
739	1	data unknown	7730.45	0	0
740	1	data unknown	4473.21	0	0
741	1	data unknown	998.383	0	0
742	1	data unknown	2759.74	0	0
743	1	data unknown	640.198	0	0
744	1	data unknown	933.319	0	0
745	1	data unknown	209.869	0	0
746	1	data unknown	2111	0	0
747	1	data unknown	4478.32	0	0
748	1	data unknown	4418.45	0	0
749	1	data unknown	1075.85	0	0
750	1	data unknown	3128.61	0	0
751	1	data unknown	1088.01	0	0
752	1	data unknown	498.108	0	0
753	1	data unknown	28.4653	0	0
754	1	data unknown	643.593	0	0
755	1	data unknown	3722.55	0	0
756	1	data unknown	188.919	0	0
757	1	data unknown	2812.08	0	0
758	1	data unknown	469.681	0	0
759	1	data unknown	218.445	0	0
760	1	data unknown	311.34	0	0
761	1	data unknown	1013.78	0	0
762	1	data unknown	2440.54	0	0
763	1	data unknown	164.749	0	0
764	1	data unknown	691.33	0	0
765	1	data unknown	5368.07	0	0
